Gitchi Gami Games 2018 - Individual Start Classic,,,,,,,
Results - 01/20/2018,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
,,Michigan Tech University,,,,,
18,367,Quinn Duffy,MU23,6484926,3530905,0:13:53.6,0:29:26.4
,,University of Wisconsin Green Bay,,,,,
19,381,Alexander Nemeth,MU18,6665830,3531001,0:13:48.6,0:29:28.1
,,Loppet Nordic Racing,,,,,
20,333,Xavier Mansfield,MU20,6539813,3530865,0:14:11.4,0:29:42.2
,,Northern Michigan University,,,,,
21,340,Torsten Brinkema,MU20,6569416,,0:14:02.4,0:29:42.7
,,Loppet Nordic Racing,,,,,
22,373,Mark Ousdigian,MU20,6665798,,0:14:07.3,0:29:44.5
,,Loppet Nordic Racing,,,,,
23,366,Krystof Kopal,MSr,,3150493,0:13:54.2,0:29:45.1
,,Northern Michigan University,,,,,
24,387,Julien Bordes,MU23,6377403,3530763,0:14:01.5,0:29:50.1
,,Northern Michigan University,,,,,
www.SuperiorTiming.com,,01/20/2018 15:52,,,,,1
Gitchi Gami Games 2018 - Individual Start Classic,,,,,,,
Results - 01/20/2018,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
25,355,James Schneider,MU18,6608562,,0:14:08.3,0:29:50.7
,,Loppet Nordic Racing,,,,,
26,357,Peter Moore,MU18,6643159,,0:14:10.2,0:29:51.3
,,Endurance United,,,,,
27,341,Anders Sonnesyn,MU18,6534959,3530974,0:13:55.9,0:29:51.3
,,Wayzata Nordic Ski Club,,,,,
28,378,Gus Schatzlein,MU18,6747091,,0:14:17.2,0:29:52.8
,,Loppet Nordic Racing,,,,,
29,386,Jackson Adler,MU18,6631000,,0:14:03.6,0:29:53.2
,,Ashwaubenon Nordic Ski Team,,,,,
30,351,Thomas Woolhouse,MU20,6646301,,0:14:10.6,0:30:05.4
,,University of Wisconsin Green Bay,,,,,
31,359,Henry Hall,MU18,6641708,,0:14:13.0,0:30:07.6
,,Loppet Nordic Racing,,,,,
32,363,Somerset Schrock,MU23,6045629,,0:14:09.5,0:30:10.9
,,Michigan Tech University,,,,,
33,347,Jack Christianson,MU23,6564341,,0:14:10.2,0:30:14.4
,,College of Saint Scholastica,,,,,
34,332,Sam Myers,MU20,6570728,,0:14:14.7,0:30:16.0
,,University of Wisconsin Green Bay,,,,,
35,354,Joshua Albrecht,MU20,6520092,,0:14:35.6,0:30:25.4
,,Michigan Tech University,,,,,
36,365,Tyler Radtke,MU23,6734274,,0:14:24.4,0:30:29.9
,,Saint Olaf College,,,,,
37,360,Daniel Wood,MU23,6521857,,0:14:38.8,0:30:31.8
,,Michigan Tech University,,,,,
38,336,Eric Houck,MU20,6536565,,0:14:14.1,0:30:37.0
,,Michigan Tech University,,,,,
39,334,Shad Kraftson,MU20,6632806,,0:14:28.5,0:30:39.5
,,University of Wisconsin Green Bay,,,,,
40,439,David Ecker,MU18,6638944,,0:14:27.6,0:30:45.3
,,Chippewa Valley Nordic,,,,,
41,361,Isaac Wieber,MU23,6568394,,0:14:24.2,0:30:46.0
,,College of Saint Scholastica,,,,,
42,395,Alexander Kelling,MU20,6820922,,0:14:40.9,0:30:47.2
,,Mt. Itasca Nordic Ski Association,,,,,
43,406,Ethan Erickson,MU18,6629505,,0:14:30.8,0:30:47.6
,,Nordicwerks SkiKlubb,,,,,
44,370,Cory Rouw,MU23,6441254,,0:14:31.6,0:30:50.6
,,University of Wisconsin Green Bay,,,,,
45,376,Hunter Dercks,MU20,6666887,,0:14:25.5,0:30:53.4
,,Michigan Tech University,,,,,
46,399,PJ Rubin,MU18,6724090,,0:14:55.8,0:30:54.5
,,Loppet Nordic Racing,,,,,
47,375,Tres Green,MU20,6618870,,0:14:45.8,0:30:57.0
,,Michigan Tech University,,,,,
48,487,Adam Mahar,MSr,,,0:14:29.3,0:30:58.0
,,McCollor Nordic,,,,,
49,353,Ryan Steger,MU20,6662712,3530997,0:14:41.4,0:30:59.5
,,College of Saint Scholastica,,,,,
www.SuperiorTiming.com,,01/20/2018 15:52,,,,,2
Gitchi Gami Games 2018 - Individual Start Classic,,,,,,,
Results - 01/20/2018,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
50,362,Theodore Widmer,MU23,6416498,,0:14:37.2,0:30:59.9
,,College of Saint Scholastica,,,,,
51,426,Hans Ernst,MU18,6660443,,0:14:32.2,0:31:01.0
,,Bay Nordic,,,,,
52,425,Keelan Gorman,MU18,6797146,,0:14:57.3,0:31:04.5
,,Loppet Nordic Racing,,,,,
53,453,Matt Lynch,MU20,6779302,,0:14:45.5,0:31:06.0
,,Saint Olaf College,,,,,
54,412,Conor Weberg,MU20,6822554,,0:14:45.4,0:31:07.1
,,College of Saint Scholastica,,,,,
55,400,Kieran Mullen,MU18,6644314,,0:14:44.4,0:31:07.4
,,Lakeland Nordic,,,,,
56,383,Andrew Haines,MU18,6615785,,0:14:22.5,0:31:09.8
,,Nordicwerks SkiKlubb,,,,,
57,344,David Jaszczak,MU23,6521891,,0:14:42.0,0:31:10.9
,,Michigan Tech University,,,,,
58,449,Sam Anderson,MU23,6627145,,0:14:57.6,0:31:19.7
,,College of Saint Scholastica,,,,,
59,374,Samuel Olson,MU20,6729883,3530987,0:14:39.7,0:31:20.8
,,Duluth XC Ski Club,,,,,
60,356,Ben Olson,MU18,6645188,,0:14:16.1,0:31:21.7
,,Loppet Nordic Racing,,,,,
61,390,Nicholas Byrne,MU20,6716898,,0:14:52.9,0:31:22.1
,,Loppet Nordic Racing,,,,,
62,385,Matthew Bourne,MU18,6607241,3530991,0:14:32.5,0:31:26.2
,,Endurance United,,,,,
63,335,Ian Ivens,MU20,6649909,,0:14:35.6,0:31:27.4
,,Loppet Nordic Racing,,,,,
64,380,Nick Niemi,MU18,6646319,,0:14:54.7,0:31:28.1
65,427,Peter Carlen,MU18,6797161,,0:14:39.1,0:31:36.4
,,Loppet Nordic Racing,,,,,
66,389,Brad Baas,MU23,6643092,,0:15:04.2,0:31:36.9
,,Michigan Tech University,,,,,
67,413,McEwan Rodefeld,MU20,6822381,,0:14:56.7,0:31:37.2
,,College of Saint Scholastica,,,,,
68,391,Spencer WareJoncas,MU20,6733954,,0:15:03.7,0:31:38.3
,,Saint Olaf College,,,,,
69,454,Kavanaugh FitzPatrick,MU20,6592940,,0:14:50.7,0:31:48.5
,,Lakeland Nordic,,,,,
70,388,Andrew Bailey,MU23,6581844,,0:15:01.9,0:31:51.1
,,College of Saint Scholastica,,,,,
71,438,Matthew Egger,MU18,6671614,,0:15:06.1,0:31:51.9
,,Loppet Nordic Racing,,,,,
72,419,Ian Ruh,MU18,6640221,,0:14:58.2,0:31:54.3
,,Loppet Nordic Racing,,,,,
73,417,Henry Snider,MU18,6746101,,0:15:08.7,0:31:58.1
,,Endurance United,,,,,
74,483,Kevin Cornelius,MU18,,,0:15:11.3,0:32:01.7
,,Orono Nordic Ski Team,,,,,
www.SuperiorTiming.com,,01/20/2018 15:52,,,,,3
Gitchi Gami Games 2018 - Individual Start Classic,,,,,,,
Results - 01/20/2018,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
75,467,Luke Dykowski,MU20,,,,0:32:06.6
,,Peak Nordic,,,,,
76,445,Charles Babcock,MU18,6814974,,0:15:11.5,0:32:08.7
,,The Ski Farm,,,,,
77,486,Carl Osterberg,MU23,,,0:15:18.9,0:32:14.8
,,University of Wisconsin Eau Claire,,,,,
78,451,Simon Stouffer,MU20,6801295,,0:15:06.6,0:32:16.1
,,Saint Olaf College,,,,,
79,437,Grant Hietpas,MU18,6838817,,0:15:34.3,0:32:16.6
,,Stillwater Nordic Ski Team,,,,,
80,482,George Goldade,MU18,,,0:15:19.9,0:32:17.2
,,Orono Nordic Ski Team,,,,,
81,414,Luke Rambo,MU20,6819478,,0:15:27.7,0:32:19.4
,,Superiorland Ski Club,,,,,
82,392,Kyle Thieme,MU20,6606693,,0:15:07.4,0:32:19.7
,,Ashwaubenon Nordic Ski Team,,,,,
83,384,Eli Gore,MU18,6644992,,0:15:06.1,0:32:20.3
,,Madison Nordic Ski Club,,,,,
84,379,Charlie Reinhardt,MU18,6707358,,0:14:51.7,0:32:21.5
,,Loppet Nordic Racing,,,,,
85,415,Gabe Raguse,MU20,6821594,,0:15:18.1,0:32:22.7
,,College of Saint Scholastica,,,,,
86,382,Joseph Lynch,MU18,6664536,,0:14:57.5,0:32:23.8
,,Loppet Nordic Racing,,,,,
87,441,Dalton Collins,MU18,6662761,,0:15:28.7,0:32:24.3
,,4H-CANSKI,,,,,
88,447,Mitchell Miller,MU23,6625478,,0:15:15.7,0:32:26.1
,,Saint Olaf College,,,,,
89,408,Simon Brooks,MU18,6766984,,0:15:09.0,0:32:27.5
,,Endurance United,,,,,
90,396,Leland Johnson,MU20,6750657,,0:15:22.9,0:32:27.9
,,Endurance United,,,,,
91,457,James Schwinghamer,MU18,6819635,,0:15:21.6,0:32:28.8
,,Ely Nordic,,,,,
92,458,Cody Schneider,MU18,6789739,,0:15:22.6,0:32:30.2
,,Lakeland Nordic,,,,,
93,442,Ty Christianson,MU18,6749313,,0:15:37.9,0:32:42.0
,,Endurance United,,,,,
94,424,Luke MacKinnon,MU18,6803951,,0:15:45.3,0:32:42.4
,,Loppet Nordic Racing,,,,,
95,485,Wyatt Pajtash,MU23,,,0:15:52.4,0:32:42.9
,,University of Wisconsin Eau Claire,,,,,
96,463,John Oosterhuis,MU20,,,0:15:30.3,0:32:46.5
,,Wausau East/West Nordic,,,,,
97,460,Ben Gustafson,MU20,6746184,,0:15:21.2,0:32:56.3
,,Ely Nordic,,,,,
98,422,Beck Pope,MU18,6810671,,0:16:00.4,0:32:56.8
,,The Ski Farm,,,,,
99,372,Gabriel Pfeiffer,MU20,6645212,,0:15:04.9,0:32:58.0
,,Michigan Tech University,,,,,
www.SuperiorTiming.com,,01/20/2018 15:52,,,,,4
Gitchi Gami Games 2018 - Individual Start Classic,,,,,,,
Results - 01/20/2018,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
100,371,Henry Wortman,MU20,6664585,,0:15:44.5,0:32:58.6
,,Saint Olaf College,,,,,
101,409,Benjamin Boelter,MU18,6736094,,0:15:42.6,0:33:07.1
,,Sartell,,,,,
102,456,Will Valentin,MU18,6632947,,0:15:39.4,0:33:12.1
,,Nordicwerks SkiKlubb,,,,,
103,440,Isaac Coulter,MU18,6746127,,0:15:39.6,0:33:16.3
,,Vasa Ski Club,,,,,
104,416,Conner Nilsen,MU20,6665913,,0:15:40.2,0:33:18.2
,,Peak Nordic,,,,,
105,461,Kristofer Johnson,MU20,6815504,,0:15:50.5,0:33:18.6
,,Saint Olaf College,,,,,
106,401,Julien Malherbe,MU18,6740849,,0:15:45.9,0:33:19.7
,,Superiorland Ski Club,,,,,
107,475,Thomas Olenchek,MU18,,,0:16:06.0,0:33:21.4
,,Peak Nordic,,,,,
108,377,Anders Braaten,MU20,6594533,,0:15:49.2,0:33:21.7
,,College of Saint Scholastica,,,,,
109,428,Thomas Atwood,MU18,6803977,,0:15:58.0,0:33:26.9
,,Loppet Nordic Racing,,,,,
110,393,Jake Stiele,MU20,6648182,,0:15:38.3,0:33:29.7
,,College of Saint Scholastica,,,,,
111,491,Benjamin Brown,MU18,,,0:15:48.2,0:33:34.3
,,Wausau East/West Nordic,,,,,
112,431,Blake Weiss,MU18,6808661,,0:15:44.3,0:33:35.8
,,Endurance United,,,,,
113,394,Tony Mathie,MU20,6593576,,0:16:06.4,0:33:39.1
,,University of Minnesota Ski Club,,,,,
114,402,Nikolai Huotari,MU18,6632871,,0:16:13.2,0:33:42.7
,,Copper Country Ski Tigers,,,,,
115,473,Cole Roecker,MU18,,,0:15:23.7,0:33:42.8
,,Peak Nordic,,,,,
116,405,Nathan Garwood,MU18,6739684,,0:16:02.1,0:33:50.8
,,Superiorland Ski Club,,,,,
117,411,Alexander White,MU20,6822852,,0:16:16.1,0:33:56.6
,,Wayzata Nordic Ski Club,,,,,
118,455,Sean Daly,MU20,6837980,,0:15:59.9,0:33:57.9
,,Saint Olaf College,,,,,
119,433,Jacob Rochell-Share,MU18,6828552,,0:15:41.5,0:33:59.3
,,Loppet Nordic Racing,,,,,
120,489,Jon Webster,M Msr,,,0:16:00.2,0:34:12.7
121,464,Jonathan Martin,MU20,,,0:16:10.2,0:34:22.7
,,Hayward Nordic,,,,,
122,407,Matthew Clarke,MU18,6614150,,0:16:16.2,0:34:31.5
,,Loppet Nordic Racing,,,,,
123,466,Joel Haas,MU20,,,0:16:00.2,0:34:37.6
,,Ashwaubenon Nordic Ski Team,,,,,
124,398,Joe Wood,MU18,6646236,,0:16:34.0,0:34:39.5
,,Copper Country Ski Tigers,,,,,
www.SuperiorTiming.com,,01/20/2018 15:52,,,,,5
Gitchi Gami Games 2018 - Individual Start Classic,,,,,,,
Results - 01/20/2018,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
125,477,Teagan Maier,MU18,,,0:16:35.6,0:34:47.1
,,Wausau East/West Nordic,,,,,
126,470,Dylan Winchester,MU18,,,0:16:27.1,0:34:47.9
,,Hayward Nordic,,,,,
127,421,Galen Resh Chimner,MU18,6640940,,0:16:20.5,0:34:51.4
,,Copper Country Ski Tigers,,,,,
128,423,Ilhan Onder,MU18,6638803,3531015,0:16:16.5,0:34:53.5
,,Copper Country Ski Tigers,,,,,
129,430,Andrew Larson,MU23,6625806,,0:16:38.5,0:35:02.8
,,Saint Olaf College,,,,,
130,472,Elliot Schneider,MU18,,,0:16:40.0,0:35:06.4
,,Bay Nordic,,,,,
131,404,Daniel Groeneveld,MU18,6639009,,0:16:39.2,0:35:14.8
,,Copper Country Ski Tigers,,,,,
132,448,Ethan Holdahl,MSr,6769764,,0:16:32.7,0:35:28.1
,,Saint Olaf College,,,,,
133,403,Drake Hacker,MU18,6662746,,0:16:45.8,0:35:32.1
,,Peak Nordic,,,,,
134,443,Ian Casper,MU18,6823059,,0:16:32.3,0:35:44.0
,,Madison Nordic Ski Club,,,,,
135,479,Anthony Holmes,MU18,,,0:16:55.9,0:35:50.9
,,Lakeland Nordic,,,,,
136,471,Arik Spaude,MU18,,,0:17:12.6,0:36:04.7
,,Champlin Park Nordic Ski Team,,,,,
137,420,Andrew Ross,MU18,6609564,,0:16:44.8,0:36:06.7
,,Wausau Nordic United,,,,,
138,469,Victor Anderson,MU20,,,0:17:07.7,0:36:08.7
,,Wausau East/West Nordic,,,,,
139,465,Derek Kozak,MU20,,,0:18:01.6,0:36:12.5
,,Hayward Nordic,,,,,
140,480,Isaiah Heyworth,MU18,,,0:17:07.2,0:36:28.1
,,Hayward Nordic,,,,,
141,468,Jim Drewry,MU20,,,0:17:41.4,0:37:10.6
,,Lakeland Nordic,,,,,
142,474,Jackson Pope,MU18,,,0:17:53.4,0:37:10.9
143,410,Benjamin Alcorn,MU23,6764058,,0:17:51.1,0:37:11.3
,,Saint Olaf College,,,,,
144,481,Aidan Graf,MU18,,,0:17:14.6,0:37:11.9
,,Lakeland Nordic,,,,,
145,435,Ben Jansen,MU18,6828586,,0:17:27.9,0:37:14.6
,,Loppet Nordic Racing,,,,,
146,418,Sean Schiferl,MU18,6636070,,0:17:56.6,0:37:21.0
,,Endurance United,,,,,
147,446,Lars Askegaard,MU18,6818934,,0:17:17.8,0:37:22.2
,,Minnehaha Academy,,,,,
148,432,Edward Roe,MU18,6748347,,0:18:04.8,0:37:37.7
,,Vasa Ski Club,,,,,
149,434,Thomas Lyle,MU18,6822761,,0:18:09.6,0:38:05.2
,,Copper Country Ski Tigers,,,,,
www.SuperiorTiming.com,,01/20/2018 15:52,,,,,6
Gitchi Gami Games 2018 - Individual Start Classic,,,,,,,
Results - 01/20/2018,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
150,436,Spencer Hoeffling,MU18,6815906,,0:18:14.5,0:38:56.3
,,CEC Nordic,,,,,
151,488,Nathan Johnson,MU23,,,0:17:31.4,0:39:31.3
,,University of Wisconsin Eau Claire,,,,,
152,476,Jackson Nomm,MU18,,,0:18:53.9,0:40:27.7
,,Lakeland Nordic,,,,,
153,484,Evan Brown Ton,MU18,,,0:18:49.4,0:40:34.1
,,Minnehaha Academy,,,,,
154,452,Anthony Poirier,MU20,6719629,,0:20:18.0,0:42:41.6
,,Rochester Nordic Ski Team,,,,,
155,490,Gregg Hietpas,M Msr,,,0:20:38.7,0:44:40.7
*,462,Mark Raasch,MU20,,,0:17:00.0,DNF
,,Wausau East/West Nordic,,,,,
*,478,Bradley Kubik,MU18,,,,DNS
,,4H-CANSKI,,,,,
*,450,Terry Tansey,M Msr,4989000,,,DNS
,,Haakon,,,,,
*,397,James Woolhouse,MU18,6646244,,,DNS
,,Mora Ski Club,,,,,
www.SuperiorTiming.com,,01/20/2018 15:52,,,,,7
