Gitchi Gami Games 2018 - Individual Start Classic,,,,,,,
Results - 01/20/2018,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
Men & Boys Sr/U23/U20/U18 10K Male,,,,,,,
1,349,Kjetil Banerud,MU23,,3422968,0:13:09.2,0:27:27.2
,,Northern Michigan University,,,,,
2,368,Jacob Ajax,MU23,6466440,,0:13:08.6,0:27:48.9
,,University of Wisconsin Green Bay,,,,,
3,364,Mathias Rolid,MU23,,3422644,0:13:09.6,0:27:50.4
,,Northern Michigan University,,,,,
4,342,Lars Soensterud,MU23,,3422952,0:13:08.8,0:27:51.5
,,Northern Michigan University,,,,,
5,339,Mitchell DeLong,MU20,6547480,,0:13:28.4,0:27:58.8
,,Michigan Tech University,,,,,
6,343,Tamer Mische-Richter,MU23,6386295,3530873,0:13:21.4,0:28:02.6
,,College of Saint Scholastica,,,,,
7,338,Reid Goble,MU20,6550854,3530904,0:13:28.5,0:28:13.8
,,Michigan Tech University,,,,,
8,345,Leo Hipp,MU23,6485069,3530859,0:13:26.3,0:28:40.5
,,Northern Michigan University,,,,,
9,429,Olav Vestoel,MSr,,3424098,0:13:31.8,0:28:40.7
,,Michigan Tech University,,,,,
10,331,Daniel Streinz,MU20,6539955,3530855,0:13:35.3,0:28:52.0
,,Northern Michigan University,,,,,
11,358,Ryan Mead,MU18,6638886,,0:13:41.7,0:28:56.9
,,Nordicwerks SkiKlubb,,,,,
12,346,Gaspard Cuenot,MSr,,3510413,0:13:51.3,0:28:59.2
,,Michigan Tech University,,,,,
13,337,Luc Golin,MU20,6601591,3531020,0:13:36.3,0:28:59.6
,,Loppet Nordic Racing,,,,,
14,369,Dan DeLestry,MU23,6460856,,0:13:45.9,0:29:02.2
,,College of Saint Scholastica,,,,,
15,350,Patrick Acton,MU20,6532637,,0:13:59.1,0:29:08.5
,,Michigan Tech University,,,,,
16,352,Aiden Truettner,MU20,6198212,,0:14:04.7,0:29:23.2
,,Michigan Tech University,,,,,
17,348,Thomas Bye,MU23,6464973,3530771,0:14:04.9,0:29:23.3
