Michigan Tech CXC Junior Cup 2017 - Classic Mass Start,,,,,,,
Results - 12/17/2017,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
,,College of Saint Scholastica,,,,,
www.SuperiorTiming.com,,12/20/2017 20:55,,,,,1
Michigan Tech CXC Junior Cup 2017 - Classic Mass Start,,,,,,,
Results - 12/17/2017,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
25,217,Samantha Kurkowski,FU18,6818959,,0:19:36.3,0:40:17.9
,,Roseville Area High School,,,,,
26,161,Samantha Benzing,FU20,6259824,,0:19:03.3,0:40:26.3
,,College of Saint Scholastica,,,,,
27,176,Erin Lipp,FU23,6520970,,0:19:22.3,0:40:28.0
,,Michigan Tech University,,,,,
28,155,Sadie Peterson,FU20,6643100,,0:19:12.1,0:40:33.3
29,193,Megan Schiferl,FU20,6632830,,0:19:25.7,0:40:36.1
,,College of Saint Scholastica,,,,,
30,169,Maria Hauer,FU23,6539885,3535645,0:19:26.8,0:40:37.9
,,Saint Cloud State University,,,,,
31,165,Kasia Bednarski,FU18,6627194,3535765,0:19:06.0,0:40:38.0
,,Loppet Nordic Racing,,,,,
32,158,Rana Kraftson,FU18,6632798,,0:19:15.7,0:40:49.9
,,Loppet Nordic Racing,,,,,
33,174,Emma Barnes,FU23,6374832,,0:19:41.9,0:40:55.0
,,St. Michael's College,,,,,
34,208,Olivia Schwintek,FU18,6665954,,0:19:48.7,0:40:57.8
,,The Ski Farm,,,,,
35,180,Lauren Lackman,FU18,6742910,,0:19:47.6,0:41:01.6
,,Wausau Nordic United,,,,,
36,177,Jamie Herridge,FU20,6607667,3535761,0:19:42.8,0:41:04.6
,,Saint Cloud State University,,,,,
37,178,Mary Lyon,FU20,6605577,,0:19:29.0,0:41:09.7
,,Vasa Ski Club,,,,,
38,173,Charlotte Brown,FU18,6640916,,,0:41:17.5
,,Endurance United,,,,,
39,185,Cecelia Boyle,FU20,6721658,,0:19:47.2,0:41:36.6
,,College of Saint Scholastica,,,,,
40,166,Isabel Seay,FU18,6664668,,0:20:01.4,0:41:58.9
,,Peak Nordic,,,,,
41,204,Emma Terwilliger,FU18,6818082,,0:20:14.7,0:42:13.0
,,Ely Nordic,,,,,
42,182,Alice House,FU18,6727374,,0:20:30.9,0:42:24.5
,,Blackhawk Ski Club,,,,,
43,168,Mae Barnes,FU18,6551064,,0:20:16.5,0:42:38.9
,,Loppet Nordic Racing,,,,,
44,175,Anabel Needham,FU18,6618896,,0:20:20.7,0:42:48.7
,,Copper Country Ski Tigers,,,,,
45,218,Olivia Jacobson,FU18,6646228,,0:20:46.1,0:42:53.9
,,Loppet Nordic Racing/Prior Lake High School,,,,,
46,205,Kendal Hendrickson,FU20,6822567,,0:20:34.2,0:42:55.5
,,College of Saint Scholastica,,,,,
47,198,Anna Zajakowski,FU20,6638993,,0:20:37.4,0:43:25.6
,,University of Wisconsin - Green Bay,,,,,
48,196,Johanna Craig,FU18,6645204,,0:20:53.3,0:43:34.0
,,Lakeland Nordic Ski Team,,,,,
49,172,Kaelin Jackson,FU18,6627210,,0:20:24.8,0:43:50.3
,,Loppet Nordic Racing,,,,,
www.SuperiorTiming.com,,12/20/2017 20:55,,,,,2
Michigan Tech CXC Junior Cup 2017 - Classic Mass Start,,,,,,,
Results - 12/17/2017,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
50,189,Emma Albrecht,FU18,6730028,,0:20:42.6,0:44:20.9
,,Loppet Nordic Racing,,,,,
51,162,Olivia Dreger,FU18,6599911,,0:20:42.9,0:44:34.8
,,Wausau Nordic United,,,,,
52,183,Valora Hart,FU18,6562229,,0:20:38.9,0:44:40.4
,,Loppet Nordic Racing,,,,,
53,210,Gabriela Hennes,FU18,6820385,,0:21:38.2,0:44:58.2
,,Saint Cloud Tech High School,,,,,
54,207,Lilianne Tapper,FU20,6779418,,0:21:40.6,0:45:25.4
,,College of Saint Scholastica,,,,,
55,188,Lily Richmond,FU18,6615801,,0:21:24.4,0:45:29.3
,,Loppet Nordic Racing,,,,,
56,197,Kyra Jackson,FU20,6561529,,0:21:38.9,0:45:33.2
,,Loppet Nordic Racing,,,,,
57,215,Lauren Buchholz,FU20,6822493,,0:21:31.4,0:45:36.8
,,College of Saint Scholastica,,,,,
58,200,Cecelia Schmelzle,FU18,6723316,,0:21:26.2,0:45:42.0
,,Minneapolis Ski Club,,,,,
59,199,Courtney Gregory,FU20,6759161,,0:22:19.7,0:46:06.9
,,College of Saint Scholastica,,,,,
60,191,Elise Boudry,FU18,6765986,,0:22:08.4,0:46:22.8
,,Peak Nordic,,,,,
61,212,Elizabeth Mattson,FU18,6727366,,,0:46:27.7
,,Endurance United,,,,,
62,184,Maria Schoening,FU20,6643134,,0:22:32.3,0:47:04.0
,,University of Wisconsin - Green Bay,,,,,
63,213,Annika Viren,FU18,6100317,,0:22:26.8,0:47:20.9
,,Mt. Itasca Nordic,,,,,
64,209,Ava Schieffert,FU18,6804363,,0:22:53.1,0:47:26.9
,,Endurance United,,,,,
65,190,Haley Bock,FU23,6550843,3535676,0:22:19.4,0:47:42.5
,,Saint Cloud State University,,,,,
66,187,Lauren Johnson,FU18,6677579,,0:22:47.3,0:48:48.1
,,Endurance United,,,,,
67,211,Sydney Crandall,FU18,6765929,,0:23:06.9,0:49:19.0
,,Loppet Nordic Racing,,,,,
68,214,Carley Hintz,FU20,6709011,,0:24:03.7,0:50:35.3
,,Lakeland Nordic Ski Team,,,,,
69,216,Riley Mauzer,FU18,6821995,,0:24:06.0,0:50:48.0
,,Lakeland Nordic Ski Team,,,,,
70,194,Victoria Weier,FU18,6581947,,0:24:35.7,0:51:13.0
,,Iola Winter Sports Club,,,,,
71,219,Emma Stahl,FU18,,,0:25:01.5,0:52:03.5
,,Superiorland Ski Club,,,,,
72,195,Isabel Carr,FU18,6632905,,0:24:24.2,0:52:24.1
,,Superiorland Ski Club,,,,,
73,202,Abigail Jean,FU18,6822027,,0:25:02.3,0:52:44.9
,,Vasa Ski Club/TC West,,,,,
74,201,Josie Boelter,FU18,6736086,,0:25:30.1,0:54:52.1
,,Sartell,,,,,
www.SuperiorTiming.com,,12/20/2017 20:55,,,,,3
Michigan Tech CXC Junior Cup 2017 - Classic Mass Start,,,,,,,
Results - 12/17/2017,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
*,170,Siri Bohacek,FU18,6556772,3535642,0:19:37.3,DNF
,,Loppet Nordic Racing,,,,,
www.SuperiorTiming.com,,12/20/2017 20:55,,,,,4
