Michigan Tech CXC Junior Cup 2017 - Classic Mass Start,,,,,,,
Results - 12/17/2017,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,Time
Women Master/Senior/U20/U18 10K Female,,,,,,,
1,143,Felicia Gesior,FSr,6373728,3535542,0:17:17.7,0:35:35.4
,,CXC Team/Peak Nordic,,,,,
2,145,Vivian Hett,FU23,6347044,3535629,0:17:17.6,0:35:36.0
,,Northern Michigan University,,,,,
3,144,Kristen Bourne,FU23,6322293,3535578,0:17:18.4,0:35:36.6
,,Northern Michigan University,,,,,
4,141,Nicole Schneider,FU23,6464957,3535656,0:17:18.7,0:35:59.5
,,Northern Michigan University,,,,,
5,160,Anikken Alnaes,FSr,,3425863,0:17:20.4,0:36:33.3
,,Northern Michigan University,,,,,
6,156,Julie Ensrud,FU23,,3426160,0:17:42.3,0:37:11.5
,,Northern Michigan University,,,,,
7,149,Sarah Goble,FU23,6532149,3535714,0:17:45.9,0:37:24.1
,,Michigan Tech University,,,,,
8,142,Abigail Drach,FU23,6579919,3535654,0:17:27.2,0:37:39.1
,,Dartmouth College,,,,,
9,152,Ingrid Thyr,FU23,6518200,,0:18:00.2,0:37:48.8
,,Williams College/Loppet Nordic Racing,,,,,
10,192,Amanda Kautzer,FU20,6484995,3535680,0:18:31.9,0:38:08.8
,,Michigan Tech University,,,,,
11,151,Mara McCollor,FU18,6671622,,0:18:25.7,0:38:11.6
,,Wayzata Nordic Ski Club,,,,,
12,147,Sophie McDonald,FU23,6111819,3535586,0:18:16.4,0:38:28.9
,,Northern Michigan University,,,,,
13,148,Abigail Jarzin,FU18,6532139,3535694,0:18:03.6,0:38:30.5
,,Ashwaubenon Nordic Ski Team,,,,,
14,153,Kelly Koch,FU18,6539846,3535706,0:18:16.0,0:38:31.8
,,Loppet Nordic Racing,,,,,
15,181,Maria Gesior,FU23,6553591,,0:18:33.2,0:38:39.4
,,Montana State,,,,,
16,157,Sarah Olson,FU18,6645196,3535786,0:18:35.0,0:38:40.4
,,Loppet Nordic Racing,,,,,
17,154,Erin Moening,FU20,6531644,3535670,0:18:36.3,0:38:52.4
,,Northern Michigan University,,,,,
18,146,Sarah Bezdicek,FU23,6517891,3535674,0:18:21.1,0:38:57.8
,,Northern Michigan University,,,,,
19,171,Leah Rudd,FU18,6613590,,0:18:34.4,0:38:59.8
,,Loppet Nordic Racing,,,,,
20,179,Triana Willmert,FU18,6638878,,0:18:48.5,0:39:14.9
,,Loppet Nordic Racing,,,,,
21,150,Lucinda Anderson,FU18,6627483,3535760,0:18:35.0,0:39:27.1
,,Loppet Nordic Racing,,,,,
22,159,Regan Duffy,FU18,6583538,,0:19:14.5,0:39:30.7
,,The Ski Farm,,,,,
23,167,Hanna Dahlberg,FU23,,3505946,0:18:54.8,0:39:38.0
,,College of Saint Scholastica,,,,,
24,163,Greta Jenkins,FU23,6495718,,0:19:28.0,0:40:14.9
